Código Classificador; Nome Classificador; Eleição; Foto; SQ_CANDIDATO; Código da Cor; Cor; Teve dificuldade para classificar?; Houve erro na exibição da foto 
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600205;10000600205;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600207;10000600207;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600209;10000600209;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600212;10000600212;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600213;10000600213;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600214;10000600214;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600222;10000600222;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600230;10000600230;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600232;10000600232;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600246;10000600246;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600839;10000600839;3; Pardo / “Moreno” / Brown; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600840;10000600840;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600841;10000600841;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600842;10000600842;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600843;10000600843;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600844;10000600844;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600845;10000600845;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600846;10000600846;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600847;10000600847;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600848;10000600848;3; Pardo / “Moreno” / Brown; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600849;10000600849;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600850;10000600850;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600851;10000600851;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600852;10000600852;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000600853;10000600853;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000601164;10000601164;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000601165;10000601165;3; Pardo / “Moreno” / Brown; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000601383;10000601383;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602282;10000602282;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602287;10000602287;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602288;10000602288;4; Amarelo / Amarillo / Yellow; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602289;10000602289;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602290;10000602290;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602295;10000602295;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602299;10000602299;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602300;10000602300;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602301;10000602301;3; Pardo / “Moreno” / Brown; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602303;10000602303;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602304;10000602304;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602305;10000602305;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602311;10000602311;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602312;10000602312;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602317;10000602317;3; Pardo / “Moreno” / Brown; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602318;10000602318;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602508;10000602508;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602509;10000602509;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602510;10000602510;3; Pardo / “Moreno” / Brown; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602511;10000602511;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602512;10000602512;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602513;10000602513;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602514;10000602514;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602515;10000602515;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602516;10000602516;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602517;10000602517;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602518;10000602518;3; Pardo / “Moreno” / Brown; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602519;10000602519;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602520;10000602520;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602521;10000602521;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602522;10000602522;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000602523;10000602523;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608398;10000608398;3; Pardo / “Moreno” / Brown; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608399;10000608399;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608400;10000608400;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608401;10000608401;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608402;10000608402;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608403;10000608403;2; Preto / Negro / Black; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608404;10000608404;1; Branco / Blanco / White; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608405;10000608405;5; Indígena / Indigena / Indigenous; N; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608406;10000608406;4; Amarelo / Amarillo / Yellow; S; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608407;10000608407;3; Pardo / “Moreno” / Brown; S; N
16; Guilherme Peres; Candidatos Brasil 2018; BR_2018_FED_TODOS_AC10000608408;10000608408;3; Pardo / “Moreno” / Brown; N; N
