"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001650732_div"; "110001650732"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001724781_div"; "110001724781"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001614071_div"; "110001614071"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001601894_div"; "110001601894"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001601573_div"; "110001601573"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001719644_div"; "110001719644"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001593948_div"; "110001593948"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001618203_div"; "110001618203"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001601579_div"; "110001601579"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001655502_div"; "110001655502"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001623292_div"; "110001623292"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001719721_div"; "110001719721"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001719645_div"; "110001719645"; "5"; "Indígena / Indigena / Indigenous"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001719643_div"; "110001719643"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001719642_div"; "110001719642"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001635788_div"; "110001635788"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Mato Grosso"; "foto_cand2022_MT_div/FMT110001623300_div"; "110001623300"; "1"; "Branco / Blanco / White"; "N"; "N"
