"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001643129_div"; "60001643129"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001613079_div"; "60001613079"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001636106_div"; "60001636106"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001601179_div"; "60001601179"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001603461_div"; "60001603461"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001645992_div"; "60001645992"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001619136_div"; "60001619136"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001646929_div"; "60001646929"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001633777_div"; "60001633777"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001601178_div"; "60001601178"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001643111_div"; "60001643111"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001668625_div"; "60001668625"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001613075_div"; "60001613075"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001633785_div"; "60001633785"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001634107_div"; "60001634107"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Ceará"; "foto_cand2022_CE_div/FCE60001636095_div"; "60001636095"; "1"; "Branco / Blanco / White"; "N"; "N"
