"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001615564_div"; "140001615564"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001598307_div"; "140001598307"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001615721_div"; "140001615721"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001601475_div"; "140001601475"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001620798_div"; "140001620798"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001651727_div"; "140001651727"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001604462_div"; "140001604462"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001604549_div"; "140001604549"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001723499_div"; "140001723499"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001615566_div"; "140001615566"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001721580_div"; "140001721580"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001615569_div"; "140001615569"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001650318_div"; "140001650318"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001677539_div"; "140001677539"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001721529_div"; "140001721529"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001651733_div"; "140001651733"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001651726_div"; "140001651726"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001721310_div"; "140001721310"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001611708_div"; "140001611708"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001604464_div"; "140001604464"; "1"; "Branco / Blanco / White"; "S"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001601457_div"; "140001601457"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001611666_div"; "140001611666"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001604552_div"; "140001604552"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001651734_div"; "140001651734"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001621344_div"; "140001621344"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Pará"; "foto_cand2022_PA_div/FPA140001598314_div"; "140001598314"; "1"; "Branco / Blanco / White"; "S"; "N"
