"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001671778_div"; "130001671778"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001613222_div"; "130001613222"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001619764_div"; "130001619764"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001610888_div"; "130001610888"; "5"; "Indígena / Indigena / Indigenous"; "S"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001607238_div"; "130001607238"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001668932_div"; "130001668932"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001613344_div"; "130001613344"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001603562_div"; "130001603562"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001606702_div"; "130001606702"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001619749_div"; "130001619749"; "2"; "Preto / Negro / Black"; "S"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001724719_div"; "130001724719"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001598373_div"; "130001598373"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001645093_div"; "130001645093"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001612962_div"; "130001612962"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001607264_div"; "130001607264"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001607650_div"; "130001607650"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001604332_div"; "130001604332"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001634123_div"; "130001634123"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001607628_div"; "130001607628"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001607615_div"; "130001607615"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001596028_div"; "130001596028"; "1"; "Branco / Blanco / White"; "S"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001671786_div"; "130001671786"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001607567_div"; "130001607567"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001634115_div"; "130001634115"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001613348_div"; "130001613348"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001619742_div"; "130001619742"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001615079_div"; "130001615079"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001615093_div"; "130001615093"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001607237_div"; "130001607237"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001607246_div"; "130001607246"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001607265_div"; "130001607265"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001612794_div"; "130001612794"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001615429_div"; "130001615429"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001603571_div"; "130001603571"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001611023_div"; "130001611023"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001613390_div"; "130001613390"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001615171_div"; "130001615171"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Minas Gerais"; "foto_cand2022_MG_div/FMG130001613223_div"; "130001613223"; "1"; "Branco / Blanco / White"; "N"; "N"
