"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001601699_div"; "190001601699"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001714799_div"; "190001714799"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001605572_div"; "190001605572"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001636395_div"; "190001636395"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001601715_div"; "190001601715"; "1"; "Branco / Blanco / White"; "S"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001605596_div"; "190001605596"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001644954_div"; "190001644954"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001613473_div"; "190001613473"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001600479_div"; "190001600479"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001644962_div"; "190001644962"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001605577_div"; "190001605577"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001619211_div"; "190001619211"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001714822_div"; "190001714822"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001600470_div"; "190001600470"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001639097_div"; "190001639097"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001612455_div"; "190001612455"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001639109_div"; "190001639109"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001606559_div"; "190001606559"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001636384_div"; "190001636384"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001644801_div"; "190001644801"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001644987_div"; "190001644987"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001606487_div"; "190001606487"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001723563_div"; "190001723563"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001717272_div"; "190001717272"; "1"; "Branco / Blanco / White"; "S"; "S"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001603400_div"; "190001603400"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001609756_div"; "190001609756"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001603061_div"; "190001603061"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001639072_div"; "190001639072"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001609705_div"; "190001609705"; "1"; "Branco / Blanco / White"; "S"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001609670_div"; "190001609670"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001601681_div"; "190001601681"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001609702_div"; "190001609702"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001619496_div"; "190001619496"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001606454_div"; "190001606454"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001619516_div"; "190001619516"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001619513_div"; "190001619513"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001723556_div"; "190001723556"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001603089_div"; "190001603089"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001619227_div"; "190001619227"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001603068_div"; "190001603068"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001609728_div"; "190001609728"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001606556_div"; "190001606556"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001609746_div"; "190001609746"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001600474_div"; "190001600474"; "2"; "Preto / Negro / Black"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001644989_div"; "190001644989"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001609689_div"; "190001609689"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001606545_div"; "190001606545"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001600486_div"; "190001600486"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Rio de Janeiro"; "foto_cand2022_RJ_div/FRJ190001603069_div"; "190001603069"; "1"; "Branco / Blanco / White"; "N"; "N"
