"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001698524_div"; "20001698524"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001698127_div"; "20001698127"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001719178_div"; "20001719178"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001653095_div"; "20001653095"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001697696_div"; "20001697696"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001651898_div"; "20001651898"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001653887_div"; "20001653887"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001725823_div"; "20001725823"; "1"; "Branco / Blanco / White"; "S"; "S"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001653458_div"; "20001653458"; "1"; "Branco / Blanco / White"; "N"; "N"
 "14"; "Nathália de Souza Silva Grigorievs"; "Candidaturas Majoritárias 2022 - Alagoas"; "foto_cand2022_AL_div/FAL20001621222_div"; "20001621222"; "1"; "Branco / Blanco / White"; "N"; "N"
