"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001643044_div"; "50001643044"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001714245_div"; "50001714245"; "2"; "Preto / Negro / Black"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001600784_div"; "50001600784"; "2"; "Preto / Negro / Black"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001645900_div"; "50001645900"; "2"; "Preto / Negro / Black"; "S"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001600767_div"; "50001600767"; "2"; "Preto / Negro / Black"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001600783_div"; "50001600783"; "1"; "Branco / Blanco / White"; "S"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001615372_div"; "50001615372"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001615373_div"; "50001615373"; "1"; "Branco / Blanco / White"; "S"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001634576_div"; "50001634576"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001714234_div"; "50001714234"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001615488_div"; "50001615488"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001634605_div"; "50001634605"; "1"; "Branco / Blanco / White"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001614044_div"; "50001614044"; "5"; "Indígena / Indigena / Indigenous"; "N"; "N"
 "9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001621021_div"; "50001621021"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001600792_div"; "50001600792"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001620859_div"; "50001620859"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001634581_div"; "50001634581"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Bahia"; "foto_cand2022_BA_div/FBA50001620330_div"; "50001620330"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
