"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621388_div"; "150001621388"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718228_div"; "150001718228"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001603196_div"; "150001603196"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001643339_div"; "150001643339"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621678_div"; "150001621678"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621541_div"; "150001621541"; "2"; "Preto / Negro / Black"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001643400_div"; "150001643400"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718305_div"; "150001718305"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001603197_div"; "150001603197"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001603202_div"; "150001603202"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718303_div"; "150001718303"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619832_div"; "150001619832"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619547_div"; "150001619547"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619551_div"; "150001619551"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619537_div"; "150001619537"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718125_div"; "150001718125"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718304_div"; "150001718304"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001723468_div"; "150001723468"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001612070_div"; "150001612070"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718479_div"; "150001718479"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001603201_div"; "150001603201"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001620426_div"; "150001620426"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621682_div"; "150001621682"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619609_div"; "150001619609"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001643338_div"; "150001643338"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718477_div"; "150001718477"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718119_div"; "150001718119"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001643335_div"; "150001643335"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718124_div"; "150001718124"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621396_div"; "150001621396"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621546_div"; "150001621546"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621679_div"; "150001621679"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718473_div"; "150001718473"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001636464_div"; "150001636464"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621397_div"; "150001621397"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001643402_div"; "150001643402"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619616_div"; "150001619616"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718235_div"; "150001718235"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001643401_div"; "150001643401"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001643398_div"; "150001643398"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619608_div"; "150001619608"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001635960_div"; "150001635960"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621540_div"; "150001621540"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718248_div"; "150001718248"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718311_div"; "150001718311"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718127_div"; "150001718127"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001620417_div"; "150001620417"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619823_div"; "150001619823"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619615_div"; "150001619615"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621681_div"; "150001621681"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621614_div"; "150001621614"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001620422_div"; "150001620422"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001643337_div"; "150001643337"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621544_div"; "150001621544"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001621549_div"; "150001621549"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718123_div"; "150001718123"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001620416_div"; "150001620416"; "2"; "Preto / Negro / Black"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001619829_div"; "150001619829"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Paraíba"; "foto_cand2022_PB_div/FPB150001718236_div"; "150001718236"; "1"; "Branco / Blanco / White"; "N"; "N"
