"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001634988_div"; "170001634988"; "5"; "Indígena / Indigena / Indigenous"; "S"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001620140_div"; "170001620140"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001609036_div"; "170001609036"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001613273_div"; "170001613273"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001634983_div"; "170001634983"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001602587_div"; "170001602587"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001609653_div"; "170001609653"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001718016_div"; "170001718016"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001610411_div"; "170001610411"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001610408_div"; "170001610408"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001610407_div"; "170001610407"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001715425_div"; "170001715425"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001609133_div"; "170001609133"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001595468_div"; "170001595468"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001609074_div"; "170001609074"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Pernambuco"; "foto_cand2022_PE_div/FPE170001609032_div"; "170001609032"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
