"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001608868_div"; "180001608868"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001602518_div"; "180001602518"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001714361_div"; "180001714361"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001601234_div"; "180001601234"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001601258_div"; "180001601258"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001605662_div"; "180001605662"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001608872_div"; "180001608872"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001602552_div"; "180001602552"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001601225_div"; "180001601225"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Piauí"; "foto_cand2022_PI_div/FPI180001602556_div"; "180001602556"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
