"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001613167_div"; "200001613167"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001603379_div"; "200001603379"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001604075_div"; "200001604075"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001696300_div"; "200001696300"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001612237_div"; "200001612237"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001620544_div"; "200001620544"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001601303_div"; "200001601303"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001604080_div"; "200001604080"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001653695_div"; "200001653695"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001712602_div"; "200001712602"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001696018_div"; "200001696018"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001603382_div"; "200001603382"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001600544_div"; "200001600544"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001604078_div"; "200001604078"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001667830_div"; "200001667830"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001669828_div"; "200001669828"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001600539_div"; "200001600539"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001603651_div"; "200001603651"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001653697_div"; "200001653697"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001608705_div"; "200001608705"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001600545_div"; "200001600545"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001603002_div"; "200001603002"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001620540_div"; "200001620540"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001608811_div"; "200001608811"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001603037_div"; "200001603037"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001598464_div"; "200001598464"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001608764_div"; "200001608764"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001620350_div"; "200001620350"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001604079_div"; "200001604079"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001695818_div"; "200001695818"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001647085_div"; "200001647085"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001603381_div"; "200001603381"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001620413_div"; "200001620413"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001598462_div"; "200001598462"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001603648_div"; "200001603648"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001608760_div"; "200001608760"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Rio Grande do Norte"; "foto_cand2022_RN_div/FRN200001603000_div"; "200001603000"; "1"; "Branco / Blanco / White"; "N"; "N"
