"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001606134_div"; "10001606134"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001606131_div"; "10001606131"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001649410_div"; "10001649410"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001655721_div"; "10001655721"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001595346_div"; "10001595346"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001670806_div"; "10001670806"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001614196_div"; "10001614196"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001622411_div"; "10001622411"; "4"; "Amarelo / Amarillo / Yellow"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001601538_div"; "10001601538"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001670872_div"; "10001670872"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001621647_div"; "10001621647"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001614240_div"; "10001614240"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001643702_div"; "10001643702"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001606126_div"; "10001606126"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001670870_div"; "10001670870"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001595342_div"; "10001595342"; "2"; "Preto / Negro / Black"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001723625_div"; "10001723625"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001613551_div"; "10001613551"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001619991_div"; "10001619991"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001601556_div"; "10001601556"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001622410_div"; "10001622410"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001614241_div"; "10001614241"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001622408_div"; "10001622408"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001612488_div"; "10001612488"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001606307_div"; "10001606307"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001601536_div"; "10001601536"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001643706_div"; "10001643706"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001643701_div"; "10001643701"; "2"; "Preto / Negro / Black"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001595339_div"; "10001595339"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001606130_div"; "10001606130"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001623439_div"; "10001623439"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001614193_div"; "10001614193"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001614197_div"; "10001614197"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001639519_div"; "10001639519"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001601531_div"; "10001601531"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001670873_div"; "10001670873"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001619994_div"; "10001619994"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001643700_div"; "10001643700"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001612489_div"; "10001612489"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001601539_div"; "10001601539"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001612486_div"; "10001612486"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001716340_div"; "10001716340"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001723627_div"; "10001723627"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001642332_div"; "10001642332"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Acre"; "foto_cand2022_AC_div/FAC10001601537_div"; "10001601537"; "3"; "Pardo / “Moreno” / Brown"; "S"; "N"
