"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001643406_div"; "270001643406"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001643550_div"; "270001643550"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001643409_div"; "270001643409"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001643552_div"; "270001643552"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001643548_div"; "270001643548"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001642307_div"; "270001642307"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001675993_div"; "270001675993"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001643928_div"; "270001643928"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001713301_div"; "270001713301"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001642301_div"; "270001642301"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001644066_div"; "270001644066"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001643526_div"; "270001643526"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001713297_div"; "270001713297"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001676169_div"; "270001676169"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001676174_div"; "270001676174"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001675990_div"; "270001675990"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001697138_div"; "270001697138"; "1"; "Branco / Blanco / White"; "N"; "N"
 "12"; "Mariana Carvalho"; "Candidaturas Majoritárias 2022 - Tocantins"; "foto_cand2022_TO_div/FTO270001654161_div"; "270001654161"; "1"; "Branco / Blanco / White"; "N"; "N"
