"Código Classificador"; "Nome Classificador"; "Eleição"; "Foto"; "SQ_CANDIDATO"; "Código da Cor"; "Cor"; "Teve dificuldade para classificar?"; "Houve erro na exibição da foto" 
"9"; "Carlos Machado"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001603298_div"; "160001603298"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622625_div"; "160001622625"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622300_div"; "160001622300"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716220_div"; "160001716220"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654803_div"; "160001654803"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716337_div"; "160001716337"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716203_div"; "160001716203"; "4"; "Amarelo / Amarillo / Yellow"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716186_div"; "160001716186"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614452_div"; "160001614452"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654837_div"; "160001654837"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716207_div"; "160001716207"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716371_div"; "160001716371"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614541_div"; "160001614541"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622304_div"; "160001622304"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654849_div"; "160001654849"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001603294_div"; "160001603294"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001621820_div"; "160001621820"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716187_div"; "160001716187"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001724324_div"; "160001724324"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001717338_div"; "160001717338"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716329_div"; "160001716329"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001621925_div"; "160001621925"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001621832_div"; "160001621832"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654832_div"; "160001654832"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654850_div"; "160001654850"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622014_div"; "160001622014"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614504_div"; "160001614504"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622026_div"; "160001622026"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001621918_div"; "160001621918"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001603310_div"; "160001603310"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654816_div"; "160001654816"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622311_div"; "160001622311"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654815_div"; "160001654815"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654731_div"; "160001654731"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614492_div"; "160001614492"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001603727_div"; "160001603727"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622007_div"; "160001622007"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716193_div"; "160001716193"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716316_div"; "160001716316"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716191_div"; "160001716191"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654661_div"; "160001654661"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654828_div"; "160001654828"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614538_div"; "160001614538"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654725_div"; "160001654725"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001603289_div"; "160001603289"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001717482_div"; "160001717482"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614537_div"; "160001614537"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622604_div"; "160001622604"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654840_div"; "160001654840"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001603285_div"; "160001603285"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614530_div"; "160001614530"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654668_div"; "160001654668"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614534_div"; "160001614534"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622613_div"; "160001622613"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622294_div"; "160001622294"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622606_div"; "160001622606"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716315_div"; "160001716315"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001621915_div"; "160001621915"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654807_div"; "160001654807"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654924_div"; "160001654924"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614509_div"; "160001614509"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614549_div"; "160001614549"; "5"; "Indígena / Indigena / Indigenous"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654670_div"; "160001654670"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654672_div"; "160001654672"; "4"; "Amarelo / Amarillo / Yellow"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654651_div"; "160001654651"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001603292_div"; "160001603292"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622039_div"; "160001622039"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001621868_div"; "160001621868"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001597832_div"; "160001597832"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001603309_div"; "160001603309"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001717474_div"; "160001717474"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001621928_div"; "160001621928"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001621823_div"; "160001621823"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622303_div"; "160001622303"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614467_div"; "160001614467"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001614536_div"; "160001614536"; "3"; "Pardo / “Moreno” / Brown"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001600814_div"; "160001600814"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001717471_div"; "160001717471"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654808_div"; "160001654808"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622032_div"; "160001622032"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654650_div"; "160001654650"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654742_div"; "160001654742"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001717480_div"; "160001717480"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001622295_div"; "160001622295"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001654927_div"; "160001654927"; "1"; "Branco / Blanco / White"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716368_div"; "160001716368"; "2"; "Preto / Negro / Black"; "N"; "N"
 "17"; "Daniel Silva"; "Candidaturas Majoritárias 2022 - Paraná"; "foto_cand2022_PR_div/FPR160001716370_div"; "160001716370"; "1"; "Branco / Blanco / White"; "N"; "N"
